Video Problems|Title|Director|Studio|Country|Language|Subtitles|Year|Runtime|Timecode for Thumbnail|Filming Location|Setting City|Key Awards|Actors|Media received|Synopsis|Genre|Sub-Genre|Subject|Sub-Subject|Age 2-4|Age 5-6|Age 7-8|Age 9-12|Age 13-14|Age 14+|Issues Related to Selected Age Range|Value of the film despite Issues Related to Age Range|Profile Bucket|Mood|Homepage List|Tags Provided|Star Rating 
|Anita's Africa |Beverley Reid|Coming Home Films Inc.|Canada|English ||2007|0:17:30|0:05:13|||Chicago International Children’s Film Festival 1st Prize Documentary, 2008 Rhode Island International Film Festival Best Kids Eye Film Grand Prize, Columbus International Film Festival Silver Chris Award Best Children’s Youth Film, World Fest Houston Gold Remi Award Best Children’s Film, Bermuda International Children’s Film Festival Best Short Film, Official Selection of 20 International Film Festivals.||Anita's Africa.mkv|Anita Kemirembe is a lively ten-year-old living in a village on the outskirts of Kampala, Uganda. In <i>Anita’s Africa</i>, young viewers are led on a fascinating tour of Anita's neighborhood, her school, and the crowded streets of Kampala. The audience is also introduced to the beautiful geography of Uganda and the exotic animals who make their homes not far from Anita’s. Young viewers will gain an understanding of life as it is for a ten year old in the developing world and come to appreciate the similarities and differences between their lives and Anita’s.|Nonfiction|Modern Times, Lives of Others |Identity, Your World, Different Perspectives |Cultural Identity, Nature, Crosscultural |x|x|x|x|x|x|||Happy, Think |Learn Something New, Make New Friends |||4
|Brushstrokes|Ken Kimmelman|Imagery Film, Ltd.|USA|Nonverbal ||1990|0:05:10|0:06:37|||Coe Award, Best Children’s Film, ASIFA EAST Film Festival|Major Holley, Jimmy Slyde – for narration & sound effects|Brushstrokes.mkv|An animated film produced for the United Nations that shows the ridiculousness of prejudice, through comedic anecdotes.|Animation |Classic Animation |Identity, Everyone is Equal, Art and Dance |Being Yourself, Racial Equality, Painters|x|x|x|x|x|x|||Happy, Think|Change the World, Make New Friends |||4
|Hot Afternoons Have Been in Montana|Ken Kimmelman|Imagery Film, Ltd.|USA|English||2006|0:14:25|0:02:53|||Berkely Grand Festival Awards in the Arts, Big Apple Film Fest Best Experimental Short, Houston Gold Remi, Chicago Short Film Festival Best Editing, Putnam Valley Film Festival Achievement Award|Eli Siegel|Hot Afternoons Have Been in Montana.mkv|<i>Hot Afternoons Have Been in Montana</i> is a dramatic and colorful montage that combines photographs, live-action, and special effects. The film takes us on a wonderful odyssey that shows how a hot afternoon in Montana can be related to the whole world. The film honors Earth—its land, its history, and its people—and makes the past alive. |Cowboys and Cowgirls, Nonfiction Section, Dramatic Arts |Old West, Ancient Civilizations, Lives of Others, Indigenous Peoples, History on Screen|Your World, Art and Dance, Different Perspectives |Nature, Poetry and Prose, Global |x|x|x|x|x|x| ||Think, Excited |Learn Something New, Space to Think |||3
|Way Out|Alexander Savides|Jumping Monkeys Productions (Alexander Savides)|Canada|Nonverbal |English |2007|0:04:10|0:03:44|||2007 Community Alliance for York Region Education Award because of <i>Way Out’s</i> anti-bullying message.|Pashv Shah,Daniel Malines,Cristan Cimpan,Sarita Doust,Rita Lemaire|Way Out.mkv|In this teen produced film, Morris Shah is tired of being a loner. Eager to be accepted and make new friends at his new school, he must decide how far he will go to fit in with the crowd. <i>Way Out</i> is an inspiring tale about creativity, finding yourself and having the courage to follow your own dreams. This is a youth produced film; the director, Alexander Savides, was only 13 when he wrote, directed, and edited <i>Way Out</i>, using his Grade 8 classmates as his cast. In a way, it is his true story…|Nonfiction Section, Dramatic Arts |Modern Times, Coming of Age Stories |Identity, Underdogs, Harmful Stuff, Social Circles, Filmmakers an Photographers |Being yourself, Misunderstood Kids, Peer Pressure, Cliques |||||x||Mild Violence, Mild Drug Use |This is a youth-produced short that deals with the realities faced by a middle school student. The hero chooses to rise above the bad influences around him. Despite some violence and references to drugs, there is a positive message. |Happy, Think |Want to be Cool, Stand Up for Something |||3
|Abidjan |Alexander Etseyatse|AE Film |USA, Côte d'Ivoire|English ||2010|0:33:12|0:09:00|Brooklyn, New York, Ivory Coast|Brooklyn, New York, Ivory Coast |2011 Berlin Black International Cinema Festival Best Children Film Winner|Bandon Morrison, Liris Crosse, Christian Gomis|Abidjan.mkv|A young soccer player living in Brooklyn is in for a surprise when his mom takes him back to her hometown in Côte d'Ivoire for a visit. When he returns to Brooklyn he has learned some important lessons about being a team player. |Nonfiction, Dramatic Arts|Modern Times, Coming of Age Stories |Travel, Different Perspectives, Sports |Passports and Perspectives, Crosscultural, Racial, Soccer ||||x|x||Moderate Profanity |This film uses true to life dialouge, and has some moderate profanity (bitch, damn, shit). But it has a good, positive message. |Happy, Excited |Learn Something New, Make New Friends |||4
|Rebelle |Marc Levie |Marc Levie Visuals Overijse|Belgium|Nonverbal ||2008|0:06:04|0:04:47|||||Rebelle.mkv|Bored with Bach, a musical note decides to jazz up the score, causing a revolution.|Animation |Hand-Drawn, Computer-Generated |Music, Identity |Classical Stylings, Budding Musicians, Being Yourself |x|x|x|x|x|x|||Excited, Think |Fall in Love, Space to Think, Laugh Out Loud |||4
|Icewind (Eiswind)|Christoph Silber ||Germany |German |English |2006|0:08:25|0:00:48||||Bianca Ambrosi, Maja Schellschmidt, Antje Jandrig, Patrick Merkle, Andrea Koss, Knud Hohr, Bob Grunberg, Ben Braun |Icewind (Eiswind).mkv|Two young girls play games to comfort and protect themselves from the politics of war in Nazi Germany.|Dramatic Arts, Action and Adventure, Foreign Language Film |History On Screen, Best Buds, German |Identity, Friendship, Different Perspectives|Herd Mentality, Best Friends, Crosscultural ||||x|x|x|Mild Mature Subjects |This film takes place in Nazi Germany and touches on some of the stuggles faced by children. It has an important message and historic value. |Care, Think |Change the World, Save Someone, Space to Think |||4
|Mass|Diederik van Rooijen |Family Affair Films |Netherlands|English ||2005|0:09:45|0:02:52||||Wim van der Heyden, Priscilla Knetemann, Onno Roozen|Mass.mkv|After having had a heart attack, an old man ends up in a hospital. He is physically and mentally confronted with his past, in which a secret lies buried that he has managed to keep hidden for a long time.|Dramatic Arts, Scary Movies |History On Screen, Family Trouble, Real World Suspence |Identity, Getting Sick, Your Family |Double Lives, Dealing With Death, Grandparents |||||x|x|Moderate Mature Subjects |This film might be a bit scary, but it shows an old man on his death bed grappling with his past. |Care, Scared, Think |Change The World, Tough Choices, Space to Think |||4
|De Bode (The Messenger)|Diederik van Rooijen|Family Affair Films |Netherlands|Dutch|English |2005|0:12:00|0:07:48|||2006 Chicago Media Bridge Festival Award for Best Live Action Short Film, |Dylan Boissevain, Milushka Birge, Edo Brunner|De Bode (The Messenger).mkv|Jimmy lives with his mom in an apartment complex in the Bijlmer in Amsterdam. At night, he is haunted by an appearance that is trying to make something clear to him. Is best friend Henk, a man marked by tragic events in his life, also experiences these strange visits. Only after fate knocks on the door, does it become clear what the messenger meant to pass along. But by then it is already too late for some.|Dramatic Arts, Scary Movie, Foreign Language Film |Real World Suspence, Other European |Friendship, Underdogs |Friends in Trouble, Misunderstood Kids |||||x|x|Moderate Mature Subjects |This film is earie and suspenseful, but it is well made.|Care, Scared, Think |Save Someone, Shed a Tear, Space to Think, Get Goosebumps |||4
|A Funeral for Mr. Smithee|Diederik van Rooijen|Family Affair Films |Netherlands|English ||2002|0:03:00|0:00:21|||2002 Nomination NPS prijs for Best Short Film|Priscilla Knetemann|A Funeral for Mr. Smithee.mkv|A little girl is walking in a park when she finds a dead bird. She decides to give the little bird a decent funeral… in a black patent leather shoe that she finds in the park.|Dramatic Arts |Melodrama |Getting Sick, Animals, Child Protagonist |Dealing With Death, Birds, Unlikely Heros |||||x|x|Moderate Mature Subjects |This film has an eerie ending that may unsettle some viewers, but it tells a compelling story. |Care, Think |Save Someone, Shed a Tear |||4
|Varmints |Marc Craste |Studio AKA|UK|Nonverbal ||2008|0:24:00|0:20:48|||2008 USA Rhode Island International Film Festival first Prize for Best Original Music Composition and Grand Prize for Best Animation, 2008 Chicago MediaBridge Youth Film Festival Best Animated Short Film, 2008 UK Bradford Animation Festival Grand Prize and Audience Prize, 2009 Iran International Film Festival for Children and Youg Adults Best Short Film, 2009 Austrailia Melbourne International Film Festival Audience Award for Long Shorts Program ||Varmints.mkv|In the face of overwhelming urbanization, indifference and recklessness, a small creature struggles to preserve a remnant of the peace he once knew. His selfless acts of love plant the seeds of change that will ultimately prove the salvation of his world. But at what cost to himself? |Animation, A Little Romance, Science Fiction |Computer-Generated, Mixed Materials, Crush on Her, Crush on Him, Future Visions |Your World, Environment, Animals |Energy Conservation, Wildlife Protection, Nature, Various |||x|x|x|x|||Care, Think, Excited |Change the World, Fall in Love, Save Someone, Stand Up For Something |||4
|King Gaston / O Rei Gastão|Diogo Viegas|Viegas Estudio|Brazil|Portuguese|English |2011|0:01:16|0:00:39|||2012 Anima Mundi Carlos Saldanha prize ||King Gaston (O Rei Gastao).avi|A song about a King who did not respect all of the natural resources of his Kingdom. In a kingdom far away, there was such a brilliant king who had decided to build a castle|Musicals, Animation |Sing Alongs, Hand-Drawn, Computer-Generated |Your World, Environment, Animals, Music |Energy Conservation, Wildlife Protection, Nature, Various |x|x|x|x|x|x|||Happy, Excited |Be the Bigger Person, Just Relax |||3
|Josue and the Cassavastalk / Josué e o Pé de Macaxeira|Diogo Viegas|Viegas Estudio|Brazil|Nonverbal ||2009|0:11:30|0:02:16|||2009 Garibaldi-RS Festival Locomotiva Best children video, 2009 Anima Mundi Best Brazilian Animation, 2009 Rio de Janeiro FICI Festival Internacional de Cinema Infanti Best Animation||Josue and the Cassavastalk.mkv|This animated, Brazilian short puts a spin on the traditional fabel, Jack and the Beanstalk. Except in this version Josué trades his donkey for a type of root called cassava, that Brazilians like to eat. The root grows into a huge cassava plant that takes Josué on a big adventure. |Animation, Fantastic Worlds |Computer-Generated, Mixed Materials, Mythology, Legends, and Tall Tales |Underdogs, Travel |Weird Places |x|x|x|x|x|x|||Happy, Excited |Save Someone, Just Relax|||3
|Earth’s Diary / O Diário da Terra|Diogo Viegas|Viegas Estudio|Brazil|Portuguese|English |2010|0:01:12|0:00:59||||Alice Pirillo Lieban|Earth's Diary (O Diario da Terra).avi|A girl tells how her day to day on Earth has been changed.|Animation, Nonfiction |Mixed Materials, Environmental Awareness |Your World, Environment, Animals, Child Protagonists |Energy Conservation, Wildlife Protection, Nature, Various |||x|x|x|x|||Happy, Excited, Think|Change The World, Save Someone |||3
|Escape |Kristjan Holm|Magnetfilm|Estonia|Nonverbal ||2009|0:05:34|0:02:24|||Edingburgh, Ottawa, KROK, Anifest ||ESCAPE_ProRes_H264.mov|Escape is about boundaries that crop up out of the coexistence of an individual and society. These boundaries can be peacefully crossed only with courage and unlimited imagination.|Animation, Comedy |Hand-Drawn, Parodies |Identity, Underdogs, Your Future |Herd Mentality, Being Yourself, Misunderstood Kids, Go Your Own Way |||||x|x|||Care, Think |Space to Think |||3
|Grosse Bruder (The Big Brother)|Elisabeth Hüttermann, Jesús Pérez|Gerd Gockell Filmproduktion|Switzerland|Nonverbal ||2011|0:06:00|0:01:05|||2011 Annecy International Animated Film Festival Nominee ||GROSSE_BRUDER.mov|Two cartoon characters develop a life of their own, in the combination of pixilation & classic animation. They humiliate and mock the third unfinished figure; but their temporary superiority shifts, as he turns out to be their big brother. |Animation|Classic Animation, Mixed Materials |Siblings, Art and Dance |Brothers and Sisters |x|x|x|x|x|x|||Happy, Laugh |Laugh Out Loud, Just Relax |||3
|Homeland |Juande Marfil|Studio FAMU|Czech Republic|Nonverbal ||2010|0:06:25|0:02:25|||Madrid Festival Internacional Vallecas Puerta del Cine Best Short winner,Barcelona El meu primer festival Premio del Publico,New York Short Film Festival Special Mention, Merveilleux Francia Festival du Film “Premio Coup du Coeur”||HOMELAND - Juande Marfil.mov|The impossible task of a grandmother who is trying to knit a pullover sweater for a strange creature that keeps on growing new arms. |Animation, Science Fiction |Hand-Drawn, Giant Monsters|Friendship, Travel |Best Friends, Weird Places |x|x|x|x|x|x|||Happy, Excited |Make New Friends, Shed a Tear |||5
|Hot|Edvard Granum Dillner |Nesodden Cultureschool|Norway|English||2009|0:03:45|0:00:27|||2010 Norway filmfestival for young filmmakers First Prize AMANDUS,2009 Chicago International Children Film Festival First Prize for Child produced Film,2009 Hamburg International short film festival 2nd Place,2010 Taiwan International Children Film Festival Offical selection||HOT-Edvard Granum Dillner .mov|This is the story about two penguins, Plipp & Plopp who live in the Antarctic. Because of the Global Warm Up, the iceberg is melting, and they have to emigrate. They travel with Penguin Airlines and crash-land on a tropic Island. It is still too HOT for them. Can they find any sollution? This is a youth produced film. |Animation, Nonfiction Section |Stop-Motion Magic, Environmental Awareness|Animals, Travel, |Various||x|||||||Think, Excited |Change the World |||2
|In the Shadows|Dimitris Apostolou||Greece|Greek|English |2007|0:15:08|0:10:17|||Tehran Iran Roshd International Film Festival Golden award for Best Film |Lefteris Konstantinou, Thanasis Spyropoulos, Chronis Pavlidis|In The Shadows.mp4|In the summer of 1950, a boy’s life will change forever. The arrival of a shadow theater in his village will awake new emotions that were locked deep down inside.|Dramatic Arts, Foreign Language Film |Family Troubles, Other European |Friendship, Grown Ups |New Friends, Wise Old Friend ||||x|||||Excited, Care|Make New Friends, Save Someone |||4
|Jalil|Anna Shepilova|School-Studio "Shar"|Russia|Nonverbal |English|2010|0:04:48|0:01:59|||2010 Auburn Australia Film Festival For Children and Young Adults, 2010 Chicago International Children's Film Festival, 2011 Bejing China The China International Children’s Film Festival, 2011 Korea Busan Busan International Kids' Film Festival||JALIL_H264.mp4|The story of a boy left alone in the wreckage of civilization.|Animation, Science Fiction |Mixed Materials, Future Visions|Environment, Travel |Energy Conservation, Weird Places|x|x|x|x|x|x|||Think, Care, Scared |Change the World |||3
|Kibera Kid|Nathan Collet|Hot Sun Films|Kenya|English, Swahili|English|2006|0:11:18|0:09:51|Kibera|Kibera|Student Emmy, Hamptons International Film Festival, Angelus Film Festival, Kenya International Film Festival |Ignatius Juma, Geoffrey Twanga, Godfrey Ojiambo, Anthony Shikon’Golo|KIBERA_KID.mov.mov|<i>Kibera Kid</i> is the story of Otieno, a 12 year old orphan from Kibera, Kenya living with a gang of thieves. One day, Otieno must make a choice between gang life and redemption. The story is fictional but the circumstances depicted are not. Crime and poverty are common in Kibera, yet there are many who will stand for a better life no matter how bad things may seem.|Nonfiction, Dramatic Arts|Modern Times, Lives of Others, Social Problems |Bad Influences, Family Crisis, Your Future, Different Perspectives |Gangs, Adoption (inc. Orphans), Go Your Own Way, Class-based, Global ||||x|||Moderate Mature Subjects, Moderate Violence|Despite some robberies, some violence, and desperate living conditions in slums, there is a happy ending and an encouraging message of hope. |Care, Excited |Change the World, Tough Choices |||4
|Laura: In Action|Laerke Drews|Bird & Beenfeldt|Denmark|Danish|English|2008|0:15:04|0:01:11|||2008 Chicago International Children’s Film Festival Certificate of Excellence Live-action Short Film or Video,2008 Moondance International Film Festival Finalist Best Short Film,2008 West Valley City UT Gloria Film Festival 1st Prize Best Animation,2008 Asheville NC Twin Rivers Media Festival 2nd Prize Best Animation|Anna Fabricius, Gry Bay, Christiane Rohde, Tue Czajkowski, Jimmy Machon, Shahbaz Sarwar, Lisa Rosdahl, Jimmy Diksen Jensen.|Laura - in Action.mp4|Comic book author Laura Fagerholm is destined for success with her super heroine Miss Crystal – or so she thought. But in the tough world of publishing, talent isn’t enough. Subject to dishonesty and fraud, Laura has been manipulated into a trap where her prized comic book, her career dreams of publishing, and her super heroine are in peril. Laura must take action before it is too late!|Action and Adventure, Animation, Foreign Language Film|Superheros, Hand-Drawn, Mixed Liveaction/ Animation, Other European |Bullies, Role Models |Mean Girls, Action Girls |subtitles|subtitles|x|x|x|x|||Excited, Happy |On the Edge of my Seat, Stand Up for Something |||4
|Len and Hugo |Chris Trebilcock|Megalodon Entertainment|Canada |English ||2006|0:21:40|0:10:42|Toronto, Ontario, Canada|||Scott McCord, Michael Polley, James Rankin|Len and Hugo.m4v|Len is a young ventriloquist; Hugo is his dummy. Len dreams of a career in magic, but as his career has grown so has his dependency on Hugo as surrogate friend. Len is forced to make a choice of following his dreams in the world of illusion at the expense of finding his true self. <i>Len and Hugo</i> is a poignant comedy about a peculiar friendship and the complexities of growing up.|Dramatic Arts, Fantastic Worlds |Coming of Age Story, Magic and Magicians |Identity, Friendship, Underdogs |Being Yourself, Imaginary Friend, Freaks and Geeks|||||x|x|Mild Sexuality, Mild Mature Subject |There is some reference to sexualty on a late night talk show, and the film is a little bit scary, but it has a happy ending. |Excited, Care, Scared |Make New Friends, Get Goosebumps |||4
|Long and Slow Way|Jihye Lee||USA|Nonverbal ||2009|0:50:00|0:00:32|||||Long_and_slow_way.mov|The slow, little turtle starts his journey. He encounters other animals along the way that make his journey hard, but the turtle continues on. Will the turtle be able to finish his journey successfully? |Animation |Mixed Materials |Overcoming Physical Challenges, Animals, Travel |Various, Pilgrimage |x|x|x|x|x|x|||Happy|Save Someone|||2
|My Library |Kristy Linderholm||USA|English ||2008|0:02:13|0:01:12|||Kids First Film Fest Official Selection, Chicago International Children’s Film Fest Official Selection|Kristy Linderholm, Zilpha Keatley Snyder|My Library.mov|How libraries, reading, and one special author changed the life of filmmaker Kristy Linderholm forever. <i>My Library</i> is a personal story about the importance of literacy and following your dreams.|Animation, Dramatic Arts |Mixed Materials, Coming of Age Stories, Book Characters |Identity, Role Models, Filmmakers and Photographers |Being Yourself, Writers and Journalists|x|x|x|x|x|x|||Happy|Space to Think, Learn Something New |||3
|My Name Is Tuan|Nguyen-Anh Nguyen|GreenGround Productions Inc. |Canada|French|English |2008|0:06:32|0:04:29|||Ciné-Asie Best Film |Anh Tuan Truong, Kayla McKibbin|My name is Tuan.mov|Tuan has just moved to Canada with his Grandmother. Will it live up to his Mother's expectations? |Nonfiction, Foreign Language Film |Modern Times, Lives of Others, French |Identity, Friendship, Different Perspectives|Cultural Identity, New Friends, Crosscultural |||x||||||Think, Happy |Learn Something New |||4
|My Dad Ralph |Nicholas Wong ||Canada |English ||2008|0:11:47|0:09:39|||2008 New York City Short Film Festival Audience Award Nominee|Jimi Shlag, Maxwell Uretsky|MyDadRalph HD720p.mov|For single parent Ralph, how he's seen through his 7-year-old son's eyes means the world. In his own eyes, he's a failed artist working as a house painter - the perfect model for his son of what not to become. Little does he know that his son, Zack, has been developing his very own artistic talents, which puts him on a track to be just like his father. When Zack's class participates in "Take-Your-Kid's-To-Work Day," Ralph must come to a difficult decision: Keep his job a secret or show his son the reality of what this career path may lead to. |Dramatic Arts |Coming of Age Story |Identity, Role Models, Art and Dance |Being Yourself, Dads, Painters |x|x|x|x|x|x|||Care, Happy |Stand Up for Something, Learn Something New |||4
|Papiroflexia |Joaquin Baldwin |Pixel Nitrate |USA|Nonverbal ||2007|0:02:30|0:01:43|||2008 California Cinequest Film Festival Best Animated Short Film, 2009 Illinois Lake County Film Festival Best Narrative Short and Audience Award, 2008 Philadelphia FirstGlance Film Fest Best Director and Animation, 2007 CA Poppy Jasper Film Festival Best Creative Media Juror's Choice Award ||papiroflexia-1080p.mp4|An origami tale of a skilful paper folder who could shape the world with his hands.|Animation |Mixed Materials |Underdogs, Your Future, Your World, Environment, Animals |Go Your Own Way, Nature, Energy Conservation, Wildlife Protection, Various |x|x|x|x|x|x|||Happy, Excited, Think |Change The World, Just Relax |||5
|The Burden of the Shadow (Povara Umbrei) |Dragos-Bogdan Iuga||Romania |Nonverbal |English |2006|0:09:00|0:01:43|||||PeliculaVersiuneScurta.mp4|A short animated film about a little wooden puppet and a pesky shadow. |Animation |Stop-Motion Magic, Puppetry, Mixed Materials |Art and Dance|Poetry and Prose |x|x|x|x|x|x|||Excited|Just Relax, Space to Think |||2
|Pet Bird |Ricardo de Podestá|Magnetfilm|Brasil|Nonverbal ||2012|0:13:00|0:03:37|||2013 Berlin Generation Berlinale International Filmfestspiele, 2012 Brasil Anima Mundi Festival Int'l de Animacao do Brasil, 2012 Lisboa Portugal Monstra Festival de Animacao de Lisboa Portugal||Pet_Bird_ProResHQ_H264.mov| A parrot is seduced by the beautiful images of a light box and disrupts the morbid living room routine. |Animation, Comedy |Hand-Drawn, Computer Generated, Modern Slapstick|Adjusting to New Settings, Animals |Big City Living, Various ||||x|x|x|||Excited, Laugh |Space to Think, Laugh Out Loud |||3
|Recycle Man|Baltimore Speaks Out! Producers |Wide Angle Youth Media|USA|English ||2010|0:03:07|0:00:41||||Emajae McInnis, Antonio Lunn, Oshea Bright, April Montebon|RecycleMan.mov.mov|In this comic book inspired short, the Baltimore Speaks Out Youth Producers at the Orleans Street Library Branch tell the story of a young super hero, Recycle Man, out to stop reckless littering in Baltimore City. Polluters Beware!|Nonfiction |Environmental Awareness|Your World |Energy Conservation |x|x|x|x|x|x|||Happy, Think, Laugh|Laugh Out Loud, Learn Something New |||3
