Video Problems|Title|Director|Studio|Country|Language|Subtitles|Year|Runtime|Timecode for Thumbnail|Filming Location|Setting City|Key Awards|Actors|Media received|Synopsis|Genre|Sub-Genre|Subject|Sub-Subject|Age 2-4|Age 5-6|Age 7-8|Age 9-12|Age 13-14|Age 14+|Issues Related to Selected Age Range|Value of the film despite Issues Related to Age Range|Profile Bucket|Mood|Homepage List|Tags Provided
|Cats of Mars|Jacob Stalhammar|Long Nights of Coffee Films|USA|English||2010|0:07:56|0:02:24||||Jeff Crackower|cats_of_mars_ENG_H264_3500kbps.mov|In Mars's ancient ruins live the Cats of Mars. One day a toy car lands on the planet. He only wants to work and work, he never wants to sleep or play. The cats think he's sad, and so they decide to help.|Animation|Hand-Drawn, Computer-Generated|Travel|Portals and Other worlds|x|x|x|x|x|x|||Excited|Just Relax|Picks for Me|
|Check Date, an Underdog Love Story|Esther Casas Roura|Claymaniak|USA|Nonverbal||2008|0:04:36|0:00:50|||2009 Paris The Very Short Movies Film Festival Honorable Mention||CheckDate_anUnderdogLoveStory.mov|A quirky love story that takes place on a chess board.|Animation, A little Romance|Stop-Motion Magic, First Loves|Animals|Various|||x|x|x||||Laugh|Fall in Love|Picks for Me|
|Ciscalo Ciscalo Diablo Panzon!|Antonio Cerdan, Amanda Wallace |Studio Kinetika Inc. |Canada, Mexico|Nonverbal||2006|0:06:00|0:01:04|||||Ciscalo Ciscalo.mkv|This chalk pastel animation brings to life a traditional Mexican holy week celebration, without dialogue. As the townsfolk gather amidst festive lights and music, an old artisan readies the main attraction. Soon his fireworks explode in the sky and enchant everyone below. No one could be happier than the artisan himself until his final creation a great papier-mâché devil, refuses to be lit. Not to be outsmarted the old man accepts the challenge. This fanciful animation celebrates the imagination and ingenuity behind an age old festivity.|Animation|Hand-Drawn|Animals|Various||x|x|x|x|x|||Happy|Just Relax|Animation Antics|
|Complementary in Every Way|5th Grade Fugleflick Filmmakers|Dryden Elementary School Art Room|USA|English||2009|0:02:34|0:01:19|||2009 Washington DC Shortie Award Winner||complementary in everyway.mp4|Red meets Green across the color wheel and finds they are complementary in every way.|Animation, A Little Romance|First Loves|Identity, Social Circles|Being Yourself, Just Want to be Loved, Outsiders||x|x||||Mild Sexuality|Kids learn a tiny bit about the birds and the bees as the colors green and red get married and have a baby.|Think|Make New Friends, Fall in Love|Picks for Me|
|Consumerism|Sanchez Roberts, Tyrel Jean Baptiste, Fela Maslen, Gaetan Cal, Sadiq Odusanya, Jason Bear, Ronald Hutton|Mouth That Roars|UK|English||2012|0:03:00|0:00:20|London|London|UK BFI, First Light, Film Club and Film Education competition for young creators 2nd Place Winner|Sanchez Roberts, Tyrel Jean-Baptiste|Mouth That Roars - Consumerism 2012 720p.mp4|Based around two friends, Calvin and Malcolm, <i>Consumerism</i> is a simple tale of how the obsession and pressure of having the most up to date gadgets can overtake the really important things in life.|Nonfiction Section|Modern Times|Gaming, Digital Issues|Video Games, Computers and Gaming||||x|x|x|||Think|Save Someone|Picks for Me|
|Crazy Encounters From the Third Kid|Ale McHaddo|44 Toons|Brazil|Portuguese|English|2009|0:15:00|0:00:45||||Gustavo Novak, Jady Brasileiro, Cayke Scalione, Gabriel Vasconcelos|CONTATOS_44TOONS.mov|A group of kids goes camping at the town park. Lorota says he can contact extraterrestrials, but his friends don't believe him.|Science Fiction|Galactic Adventures|Friendship|Sleepovers|||x|x|x||||Excited|Just Relax|Brand New|
|Cuckoo for Two|Angie Hauch, Angela Tidball|Student Thesis Film|USA|Nonverbal||2011|0:04:55|0:02:10|||||CuckooForTwo.mov|A cute love story about a lonely cuckoo bird and a new paperweight.|Animation, A Little Romance|Computer-Generated|Animals|Birds|x|x|x|x|x|x|||Happy|Fall in Love|Animation Antics|
|Curious Todd and the Mystery Dream|Ganesh Gothwal|Emantras Mlab Productions|India|Nonverbal||2009|0:07:28|0:03:53|||||Curious Todd and the Mystery Dream.mp4|After an evening of watching TV shows about global warming, Todd has a curious dream.|Animation|Computer-Generated, Mixed Materials|Your World|Conservation of Energy|x|x|x|x|x|x|||Think, Excited|Change the World|Picks for Me|
|Date at a Funeral|Samantha Howard|Samantha Howard Productions|USA|English||2011|0:12:25|0:08:20||||M. Jordan Jr, Shari Nishijima, Monserrat Perez, Dakota Rae, Tiffany Stanley, Felicia Stiles, Spencer Te'o|DATE AT A FUNERAL.mov|Jennifer, a shy girl, goes on her first date. What's odd is that she takes her date to her grandmother's funeral.|Dramatic Arts, A Little Romance|Coming of Age Stories Story, First love|Adolescence, Getting Sick|Dealing with Death|||||x||||Happy|Fall in Love|Picks for Me|
|Elementary Musical|5th Grade Fugleflick Filmmakers|Dryden Elementary School Art Room|USA|English||2010|0:03:57|0:02:45|||2012 SD25 YouTube Contest Winner, 2012 Schaumburg Screentest Team Film Fest Best of Show Winner||Elementary Musical Full Version.mp4|The elements of art come together in compositional design. This is so exciting that it makes students want to sing and dance!|Nonfiction Section, Musicals|Art Class|Your School|||x|x||||||Think|Be the Bigger Person|Brand New|
|Emil Orange|Mario Zozin|Filmakademie Baden-Württemberg|Germany|German|English|2010|0:09:10|0:02:27||||Benno Herz, Joshua Christoph Krone, Meret Lola, Mona Lili Gabelein, Brigitte Zeh, Barbara Gehringer|Emil_Orange_eOF.mp4|This short film tells the story of a boy who is in love with the color orange. But will his love become his undoing?|Dramatic Arts|Coming of Age Stories|Child Protagonists|Unlikely Heroes|||x|x|x||||Laugh, Happy|Just Relax, Laugh out loud|Picks for Me|
|Esterhazy|Izabela Plucinska|Donten & Lacroix, ClayTraces|Poland, Germany|Polish|English|2009|0:25:00|0:05:21|||Corby International Short Film Festival Best Film Winner Best Director Winner, Mexico Expresion en Corto Best Short Animation Winner, Greece Drama International Short Film Festival Best Animation Film Winner, Italy Sedicicorto Internation Film Festival Best Animation Film Winner, France Ris Orangis Film Festival High School Jury Award Winner, Banja Luka International Animated Film Festival Best Film Winner, My Europe Film Festival Audience Award Winner, Hungary Kecskemét Animation Film Festival Best TV Special Winner, Finland Blue Sea Film Festival Director’s Award Winner, China International Animation Festival Golden Dinosaur Award for Best Short Film Winner|Maciej Stuhr|esterhazy pl_sub.mov|The Esterhazy Rabbit Dynasty in Vienna is in danger because the rabbits have been eating too much chocolate. From generation to generation, they have become smaller and smaller. The young hope of the family, Esterhazy, is sent to Berlin in order to find a big wife and save the family line. He is told about a Rabbits’ Paradise somewhere near the Berlin Wall. After a long and intensive search, Esterhazy finds that promised paradise. It really existed: hundreds of rabbits lived for years on the well protected green grass in between the East and West part of the famous Berlin Wall. Esterhazy decides to stay there with Mimi, the love of his life, but it is the year 1989 and the world is about to change. While the people in East Germany long for freedom and tear down the Wall, our little heroes have to run away. Watch history and claymation come together in this wonderful film.|Animation, A Little Romance|Stop-Motion Magic|Different Perspectives|Global|||x|x|x||||Happy|Fall in Love|Top Rated|
|Fard|Luis Briceno, David Alapont|Clermont Ferrand|France|French|English|2009|0:12:49|0:01:35|||2010 Clermont-Ferrand Internation Short Film Festival SACD Prize Best film Winner, 2010 Italy Grand Prix du Public Future Film Festival Bruz Youth Award Winner, 2011 Italy Maremetraggio Best animated Short Winner, 2010 Paris Festival du Film Merveilleux Best Animation Film Winner, 2009 St. Petersburg VII International Festival Multivision Grand Prix Winner|Julie Durand, Jean-Francois Gallotte, Michel Aymard|Fard.mkv|A man, Oscar, gets an opportunity to shine a light on what lies beneath the surface in this sci-fi short.|Animation, Science Fiction|Mixed Materials, Future Visions|Identity|Herd Mentality|||||x|x|Moderate Violence|There is some stylized sci-fi violence, but no blood. Unless you think your child will mimic hitting someone on the head with a hammer, this is well worth viewing for it's artistic value.|Scared|Get Goosebumps, On the Edge of My Seat|Top Rated|
|Fear of Snakes|Andreas Mendritzki|Green Ground Productions|Canada|English||2009|0:05:27|0:04:06|||2009 Chicago International Children's Film Festival Poetry Film Prize Winner|Megan Hadley, Victoria Trinetti, Jack Burke, Adrienne Brunette|Fear of Snakes 720 H264.mov|On a summer’s day, a young girl loses her fear of snakes. The sights and sounds of that day are remembered years later in an exploration of the power of childhood experience. An illustration of Lorna Crozier’s poem "Fear of Snakes".|Dramatic Arts|Coming of Age Stories|Overcoming Mental Challenges|Fear|||||x|x|Mild Sexuality|There are girls and boys running around unsupervised in nature. Nothing happens, but, as the title indicates, there are some metaphors at play. Definitely worth viewing. It's like Terrence Malick for youngsters.|Care|Wear Me Out, Shed a Tear|Top Rated|
|Fitting In|Taylor Annisette|Sheridan College|Canada|English||2011|0:02:43|0:00:24|||||Fitting In - Taylor Annisette.mp4|A little octagon attending her first day of school learns not to get bent out of shape about being a bit different from all the circles and squares around her.|Animation|Computer-Generated, Mixed Materials|Underdogs, Identity|Misunderstood Kids, Being Yourself|x|x|||||||Happy|Make New Friends|Picks for Me|
|Freedom: What It Means To Teens|Michele Pinczuk|Michele Pinczuk|USA|English||2009|0:06:56|0:04:45|||||Freedom.mkv|This documentary short, <i>Freedom: What it Means to Teens</i>, takes a brief look at freedom by focusing on teens and their special connection to it. Michele Pinczuk, a 15 year old filmmaker, unveils the importance of appreciating our freedoms, not only teens, but as different races and ethnicities.|Nonfiction Section, Youth-Produced Movies|Modern Times|Everyone is Equal|Racial Equality|||||x|x|||Think|Stand Up for Something, Change the World|Picks for Me|
|Gerald's Last Day|Justin Rasch, Shel Rasch|Justin and Shel Rasch|USA|English||2009|0:10:20|0:01:14|||2009 Denver Festivus Film Festival Best Animation Winner, 2009 Hollywood International Family Film Festival Winner, 2009 Beverly Hills Shorts Festival Best Animation Winner, 2009 Hollywood East Festival Best Animated Short Winner, 2009 Puerto Rico Rincon Film Festival Audience Choice Award Winner, 2009 Puerto Rico Rincon Film Festival Best Animation Winner, 2009 Philadelphia Film Festival Best Animation Winner, 2009 Mumbi International Children's Festival Best Animated Short Winner||GERALDS LAST DAY H.264.mp4|This is a touching short, animated film about Gerald the dog's last day at the pound.|Animation|Stop-Motion Magic|Animals, Underdogs|Dogs|||x|x|x||||Laugh, Happy|Laugh Out Loud, Fall in Love|Top Rated|
|Glow|Jenna Byun|Academy of Art University|Canada|Nonverbal||2009|0:03:00|0:01:16|||2012 NY 12th BAMKids International Film Festival Winner, 2010 Seattle 5th Children's Film Festival Winner, 2010 LA 5th REDCAT International Children's Film Festival Winner, 2010 Australia Little Big Shots International Film Festival for Kids Winner, 2010 North Carolina Asheville International Children's Film Festival Winner, 2009 Chicago 26th Chicago International Children's Film Festival Winner||GLOW_FinalFilm_June27_QuickTime_Jbyun.mov|Luc the glow-bug desperately want to fly and glow! Just when all hopes seems lost, a new friend arrives to lend a helping hand.|Animation, A Little Romance|Computer Generated|Friendship, Bugs|New Friends|x|x|x|x|x|x|||Happy|Just Relax|Top Rated|
|Haiku Cwm Afan|Gerald Conn, Ffilm Gan, Chris Elliot, Cyfarwyddwyr|Cywaith Cymru Artworks Wales|UK|English||2005|0:04:20|0:02:02|||||Haiku Cwm Afan.mov|This short, animated film creates a portrait of the Afan Valley using a combination of model cutouts and drawn animation with haiku poetry. The film was made by pupils from Cwm Afan Junior School and Cymer Comprehensive in the Afan Valley, Wales.|Animation, Youth-Produced Movies|Hand-Drawn, Mixed Materials|Your world|Nature|||x|x|x||||Excited, Think|Heighten My Senses|Brand New|
|Hallows’ Eve and the Pumpkin Dream|Adam C. Sager|Pumpkin Dream Films, Sagerdigital|USA|English||2010|0:02:05|0:00:23||||Natalie Sue Sager|Hallows' Eve and the Pumpkin Dream HD.mov|<i>Hallow's Eve and the Pumpkin Dream</i> is a timeless and eerie fantasy-thriller, envisioned and created within three weeks by visual effects compositor Adam C Sager, and his six-year-old daughter—Natalie. The story hopes to awaken within its viewers the childlike fascination and terror surrounding the creepiest day of the year—Halloween—as a young girl ventures into the night.|Scary Movies, Holiday Break|Nightmares, Halloween|Your Movies|Child Protagonists|||x|x|x||Mild Mature Subjects|The film is a little on the scary side.|Scared|Get Goosebumps|Picks for Me|
|How My Dad Killed Dracula|Sky Soleil|Telltale Productions|USA|English||2008|0:14:00|0:01:23|||DC Shorts Film Festival Best Family Film Winner, Del Ray Beach Film Festival Best Narrative Short Winner|Daniel Roebuck, Neil Hopkins, Maxim Knight, Cameron Palatas, Cooper Green, Victor Bonavida|HMDKD_720p_V2.mp4|A Halloween practical joke turns a family tradition into a night of comic terror when two young teens don't believe their cousin's dad killed Dracula. Insisting on proving it, Dad picks up a shovel and starts to dig. It's a fun twist on the treat or treat genre.|Scary Movies, Comedy, Holiday Break|Vampires and Zombies, Halloween|Your Family|Parents||||x|x|x|Mild Mature Subjects|The film is a little on the scary side.|Scared|Get Goosebumps, Laugh Out Loud|Picks for Me|
|How Shammies Bathed|Edmunds Jansons|Atom Art|Latvia|English||2010|0:07:08|0:05:58|||2012 Latvia Lielais Kristaps National Film Festival Best Animation Film Artist Winner, 2012  Xiamen International Animation Festival Silver Award Best Animated TV Series|Steve White, Keanna Whittaker, Rachel Elizabete Sink, William Astwick, Makss Kadegis|how_shammies_bathed_HD1.mov|One evening Shammies – Sockie, Mitten, Pillow and Hankie – are watching Mr. Cat clean himself. During the day they too have become soiled and dusty and decide to take a bath.|Animation|Mixed Materials|Food and Fitness|Personal Hygiene|x||||||||Think, Excited|Just Relax|Animation Antics|
|I Love Enternet|Morana Bunic, Iva Sobak, Fani Solomun, Vlasta Pranjic|Creative Film Studio Vanima|Croatia|Croatian||2008|0:03:00|0:02:11|||||i love enternet.mpg|A boy meets a girl over the internet. After a discussion, the new friends decide to meet. On the day of their date, someone unexpected shows up.|Animation, A little Romance|Hand-Drawn, Computer-Generated|Underdogs|Freaks and Geeks|||||x|x|||Happy|Fall in Love|Animation Antics|
|Ice Cream Man|Kelvin Ke Jinde|Los Banditos Films|Singapore|Mandarin|English|2009|0:11:02|0:09:00||||James Choong, Simon Ho, Michelle Kwan|IceCreamMan_SG_Kelvin Ke.mov|A coming of age story of kinship, family, and love from the point of view of a young girl.|Dramatic Arts, Foreign Language Film|Coming of Age Stories, Mandarin|Your Family, Identity|Grandparent, Cultural Identity||||x|x|x|||Happy|Just Relax|Picks for Me|
|Imperfect Armor|Nancy J. Rodwan|Rodwan Productions LLC|USA|English||2010|0:03:00|0:01:46|||2010 Des Moines Wild Rose Independent Film Festival Best Animated Film Nominee, 2010 The Los Angeles International Film Festival Best Performance Award Experimental Films John G. Rodwan Jr.Winner, 2010 The Los Angeles International Film Festival Honorable Mention in Experimental Competition|John G. Rodwan, Jr.|Imperfect Armor.mkv|Part of director Nancy J. Rodwan’s Poetry in Pictures Series, <i>Imperfect Armor</i> combines diverse multimedia visuals with an original poem by John G. Rodwan, Jr. in order to explore regret and emotional pain.|Animation|Mixed Materials|Animals, Art and Dance|Safari Animals, Poetry and Prose||x|x|x|x|x|||Think|Shed a Tear|Top Rated|
|Iwanna Wanda in Don’t Wanna Brush|Barbara Parks|Splash Studios|USA|English||2009|0:03:30|0:00:52||||Natalie Wilder, Jenn Hyjack, Abby Overton|IWANNA WANDA IN 'DON'T WANNA BRUSH'.mov|A little girl makes a wish and with the help of her weary fairy godmother finds out that her life was better before her wish came true. It's a good lesson for a bossy, rambunctious kid.|Animation, Comedy, Fantastic Worlds|Hand-Drawn, Magic and Magicians|Parents, Friendship, Bullies, Child Protagonists|Trash Talk||x|x||||||Think|Find a Healthy Way to Vent, Laugh Out Loud|Animation Antics|
|Kapitan Hu|Basil Vogt|Basil Vogt|Switzerland|Nonverbal||2011|0:08:37|0:00:05|||2011 Sommets du cinéma d'animation de Montréal Official Selection||Kapitaen_Hu_720p 2.mov|After a violent storm, Captain Hu is stranded with his ship in the Alps. A helpful farmer finds new uses for the deep-sea equipment. However, Captain Hu is persistent in his attempt to get his ship back to sea.|Animation|Hand-Drawn, Mixed Materials|Travel|Weird Places||x|x|x|x|x|||Laugh, Happy|Laugh Out Loud|Picks for Me|
|Koko and the Ghosts|Daniel Kušan|Hrvatska Radiotelevizija (HRT), Gustav Film, Kinorama|Croatia|Croatian|English|2011|1:30:43|0:07:13|||2011 Pula Film Festival Audience Award Golden Gate Pula Best Editing Best Music Golden Birch Nation Competition Winner|Antonio Parac, Kristian Bonacic, Nina Mileta|Koko and the Ghosts 720p MOVIE.mp4|Koko has just moved with his parents from an idyllic countryside home to a big city. There, with the help of his new friends and a neighbor he investigates the mysterious case of a dead old man who used to live in Koko's new home. <i>Koko and the Ghosts</i> is a family film based on a popular Croatian series of young-adult novels written by Ivan Kušan.|Dramatic Arts, Mystery|Book Characters, Whodunit Detectives|Child Protagonists|Crime Solvers|||x|x|x||Mild Mature Subjects|The film might be a little scary for young ones, but it has a happy ending that redeems it.|Happy, Scared|Make New Friends, Get Goosebumps|Top Rated|
|Larry and Roz|Kristen Palana|Kristen Palana|Italy|English||2008|0:03:54|0:00:20|||2009 Sunscreen Film Festival Best Animated Short, 2009 Smogdance Film FestivalBest Animation, 2009 Southeast New England Film Music and Arts Festival Best Animated Film, 2009 DIY Film Festival Best Animated Short, 2009 Toronto Reelheart International Film Festival Animation and New Media Award|Lawrence Palana, Rosaline Branco Palana|KristenPalan_LarryAndRoz.mov|Larry, a 93-year-old widower confined to a nursing home, remembers a time when he had more spring in his step. Based on real audio recordings from 2002, animator Kristen Palana uses individually painted digital images to imagine and recreate her grandfather’s first attempts to woo his beloved Roz. Set in both 1943 and 2007, <i>Larry and Roz</i> is a three and a half-minute glimpse into one couple’s six decade relationship. It's a lovely film that treats the elderly, aging, and senior citizens in assisted living with dignity.|Animation, A little Romance|Hand-Drawn, Computer-Generated, First Loves|Your Family|Grandparents|||||x|x|||Happy|Fall in Love|Animation Antics|
|Let’s Be Green When It’s Time to Clean|5th Grade Fugleflick Filmmakers|Dryden Elementary School Art Room|USA|English||2009|0:03:09|0:02:41|||2009 Washington DC Shortie Award Winner, National Geographic Find Your Footprint Student Video Contest Nominee, 2010 Schaumburg Screen Test Film Fest Nominee||let'sbegreen.mp4|Students learn how to be green when it’s time to clean with advice from Sponge, Sink, Recycle Bin, and Paper Towel.|Animation, Nonfiction Section, Musicals|Stop-Motion Magic, Mixed Liveaction/Animation, Crafts and Activities, Art Class, Environmental Awareness|Grown Ups|Great Teachers||x|x||||||Think|Be the Bigger Person|Brand New|
|Ley Ley|Parvis Valavioun|n/a|Germany, Iran|German|English|2009|0:12:00|0:09:15||Berlin, Germany|||Ley Ley 3.VOB|A young girl, Samarion, is on an errand for her mother when she becomes distracted. She ends up making friends with Heinz, an old vagabond who is hungry.|Dramatic Arts|Immigrant Experiences|Friendship|New friends|||x||||||Happy|Make New Friends|Picks for Me|
|Listen to Me!|Elena Rogova|Amix Film Studio Ltd.|Hungary|Nonverbal||2008|0:04:23|0:00:18|||2009 ReAnimania'09 Yerevan International Animation Children's Program Winner, Italy Logo Film Festival Unicef Award Winner||Listen to Me!-AmixFilm01.mp4|One fidgety dog desperately wants to be heard by people and finally gets the chance.|Animation, Comedy, A Little Romance|Hand-Drawn, Modern Slapstick|Animals|Dogs, Cats, and Mice|x|x|||||Mild Sexuality|Kids see a couple kissing. No biggie.|Laugh|Make New Friends, Laugh Out Loud|Picks for Me|
